[04/Dec/2024 18:54:39] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[04/Dec/2024 18:54:39] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[04/Dec/2024 18:55:03] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/templates with glob **/*.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/enroll/templates with glob **/*.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/crispy_bootstrap4/templates with glob **/*.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/dashboard/templates with glob **/*.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/notice_board/templates with glob **/*.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/allauth/templates with glob **/*.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/login/templates with glob **/*.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/locale with glob **/*.mo.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/enroll/locale with glob **/*.mo.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/notice_board/locale with glob **/*.mo.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/storages/locale with glob **/*.mo.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/dashboard/locale with glob **/*.mo.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/crispy_forms/locale with glob **/*.mo.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/crispy_bootstrap4/locale with glob **/*.mo.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/login/locale with glob **/*.mo.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/allauth/locale with glob **/*.mo.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/allauth/account/locale with glob **/*.mo.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/allauth/socialaccount/locale with glob **/*.mo.
[04/Dec/2024 19:11:20] DEBUG [django.utils.autoreload:296] Watching dir /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/allauth/socialaccount/providers/google/locale with glob **/*.mo.
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/allauth/socialaccount/providers/oauth2/client.py first seen with mtime 1727825453.315924
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/django/test/runner.py first seen with mtime 1726717287.3798563
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /opt/anaconda3/lib/python3.11/struct.py first seen with mtime 1702664091.8091784
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/django/core/handlers/exception.py first seen with mtime 1726717287.3123813
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /opt/anaconda3/lib/python3.11/numbers.py first seen with mtime 1702664091.3186538
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /opt/anaconda3/lib/python3.11/asyncio/transports.py first seen with mtime 1702664092.2091746
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/allauth/socialaccount/providers/__init__.py first seen with mtime 1727825453.262596
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/sqlparse/tokens.py first seen with mtime 1726717286.7684352
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/_distutils_hack/__init__.py first seen with mtime 1726717264.1174383
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/crispy_forms/layout.py first seen with mtime 1728851820.764849
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/django/db/backends/utils.py first seen with mtime 1726717287.3202565
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/urllib3/util/request.py first seen with mtime 1727825467.8916066
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/django/contrib/__init__.py first seen with mtime 1726717286.8694417
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/django/contrib/admin/__init__.py first seen with mtime 1726717286.8695788
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/django/db/models/lookups.py first seen with mtime 1726717287.3322525
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/crispy_forms/templatetags/crispy_forms_tags.py first seen with mtime 1728851820.76575
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /Users/xipingye/Desktop/project-b-24/.venv/lib/python3.11/site-packages/django/utils/translation/reloader.py first seen with mtime 1726717287.3876295
[04/Dec/2024 19:11:21] DEBUG [django.utils.autoreload:394] File /opt/anaconda3/lib/python3.11/email/headerregistry.py first seen with mtime 1702664093.267631
